Namuna;Qatlam (sm);Mexanik tarkib;pH;Gumus (%);Tuproq EC (mS/cm);Tuproq zichligi (g/sm3);DNS (%);Azot (mg/kg);Fosfor (mg/kg);Kaliy (mg/kg);Mg (mg/kg);Mikroorganizmlar (CFU/g);S (mg/kg);Fe (mg/kg);Zn (mg/kg);Mn (mg/kg);Cu (mg/kg);B (mg/kg);Ekin
NMNX-133;0-20 sm;Loy;7,46;1,73;0,62;0,7;13,27;138;8,6;560;368,65;307887329;5,9;0,31;0,24;8,71;0,77;0,11;Bug'doy
NTXM-142;;Loy;7,62;;0,75;1,06;21,99;213;7,5;338;;659116321,8;25,4;0,86;0,3;2,89;1,54;2,29;Bug'doy
NMNX-134;0-30;Qum;7,59;1,41;0,51;1,11;42,05;163;9,6;718;;2957632138;14,3;0,86;0,3;2,7;1,57;2,03;Makkajo'xori
NTXM-143;0-20 sm;Qum;7,64;1,32;0,58;0,94;39,76;157;6,8;475;397,22;2534143522;26;0,54;0,34;2,65;1,53;1,82;Makkajo'xori
NMNT-135;0-20 sm;Gill;7,63;1,94;0,4;0,86;;270;9,9;444;351,65;396226636,4;11,8;0,76;0,25;2,43;1,69;2,26;Bug'doy
NTTM-104;0-30;Qum;7,43;;0,65;0,72;38,05;220;8,6;444;410,89;1964381722;11,7;0,66;0,37;2,19;0,9;1,82;Makkajo'xori
;20-40 sm;;7,62;0,49;0,43;0,81;39,64;220;7,2;222;486,65;2941556335;7,4;0,69;0,34;2;1,05;1,88;Makkajo'xori
NMNX-134;0-30;Qumoq;7,63;0,87;0,59;0,69;;207;7;401;;998554753,3;7,6;0,68;0,32;2,43;0,62;1,68;Makkajo'xori
NTXM-143;0-20 sm;Qum;7,58;2,34;0,44;0,67;28,3;289;8,6;560;392,68;650915214;7,3;0,66;0,63;2,43;0,94;1,79;Bug'doy
NMNX-135;0-20 sm;Gill;7,55;1,69;0,33;0,78;11,71;138;8,1;739;314,03;830073484,8;9;0,41;0,69;2,75;1,15;2;Bug'doy
NTXM-144;0-20 sm;;7,59;0,9;0,45;0,97;34,36;151;8,1;549;413,81;1000605822;9,6;0,38;0,71;2,79;1,33;2,41;Makkajo'xori
NMNT-136;0-30;Qum;7,53;1,55;0,73;0,89;26,51;144;7,2;306;399,11;2323084192;9,2;0,47;0,63;2,79;1,03;2,38;Makkajo'xori
;20-40 sm;Loy;7,68;1,41;0,6;0,78;24,11;138;5,3;444;349,95;1822676191;9,7;0,36;0,73;3,32;1,32;2,12;Bug'doy
NMNX-14;0-20 sm;Qum;7,45;1,9;0,53;0,81;15,91;144;8,3;549;309,13;3057378892;10,2;0,56;0,51;2,9;1,26;2,29;Bug'doy
NMNX-135;20-40 sm;Gill;7,39;1,45;0,77;0,72;26,45;201;7,7;676;326,82;2368506940;9,7;0,47;0,58;3,77;1,02;2,56;Makkajo'xori
NTXM-144;0-30;Loy;7,47;0,57;0,34;0,67;36,89;182;9,2;718;442,03;1151913309;10,6;0,41;0,77;3,04;1,28;2,79;Makkajo'xori
NMNX-136;0-20 sm;Qumoq;7,38;1,23;0,88;0,75;45,59;238;7,5;771;473,42;96305679,48;11;0,38;0,46;2,96;1,16;1,32;Makkajo'xori
NTXM-145;20-40 sm;Qum;7,45;1,31;0,55;0,67;33,01;270;8,1;655;372,6;126341574,8;10,2;0,44;0,28;7,75;1,26;2,56;Makkajo'xori
;0-30;Gill;7,38;1,16;0,78;0,61;25,6;213;6,1;803;411,96;1819875344;10,5;0,49;0,3;7,74;0,66;1,85;Makkajo'xori
NTTM-106;20-40 sm;Gill;7,31;1,16;0,63;0,78;13,75;245;8,1;560;280,85;411827519;11,6;0,43;0,29;7,73;0,57;0,74;Bug'doy
NMNX-15;0-20 sm;Gill;7,43;1,05;0,62;0,75;26,36;282;8,3;454;388,34;1063462517;11;0,5;0,32;4,99;0,81;2,65;Bug'doy
NMNX-136;0-20 sm;Gill;7,36;0,89;0,51;0,69;21,4;213;8,3;676;348,78;56333032,34;23,6;0,93;0,28;2,17;1,04;1,97;Bug'doy
NTXM-145;20-40 sm;Qumoq;7,62;1,23;0,68;0,75;30,24;207;9,4;127;394,73;1635626544;27,2;0,72;0,28;2,43;1,04;0,94;Makkajo'xori
NMNX-137;0-30;Gill;7,49;2,01;0,84;0,69;24,99;307;8,3;11;349,67;1462955360;15,8;0,57;0,26;2,13;0,73;2,47;Bug'doy
NTXM-146;0-20 sm;Loy;7,55;0,92;0,61;0,64;27,01;207;7,2;496;;1757643841;26,2;0,47;0,24;1,99;1,15;1,94;Bug'doy
NMNT-138;20-40 sm;Qumoq;7,44;;0,76;0,78;26,87;201;5,5;359;386,37;1017761780;26;0,83;0,18;2,24;0,71;1,91;Paxta
NTTM-107;0-20 sm;Gill;7,63;2,02;0,52;0,69;20,6;364;7,5;507;382,76;525777027,6;14,6;1,19;0,23;2,16;0,39;2,82;Bug'doy
NMNX-16;0-20 sm;Qumoq;7,42;1,11;0,63;0,61;30,61;220;8,3;560;401,96;1005151415;15,8;1,08;0,19;1,77;0,34;0,74;Makkajo'xori
NMNX-137;0-20 sm;Qum;7,58;1,49;0,74;0,83;27,83;245;8,3;560;406,23;1787403720;8,2;0,96;0,32;2,67;1,57;0,59;Bug'doy
;0-20 sm;Gill;7,41;0,81;0,42;1;14,89;207;7,7;676;274,53;672566536,1;15;0,92;0,27;3,12;1,43;1,85;Bug'doy
;0-20 sm;Qum;7,34;1,73;0,53;0,72;23,23;276;8,3;401;403,58;554719975,2;14,8;0,57;0,28;2,15;1,34;2,18;Bug'doy
NTXM-147;20-40 sm;Gill;7,4;0,82;0,84;0,67;17,22;207;5;560;327,9;2929507588;25,4;0,46;0,27;2,43;1,53;2,12;Bug'doy
NMNT-139;0-20 sm;Loy;7,29;1,75;0,63;0,61;13,27;245;5,7;465;332,2;633195480,9;22,4;0,44;0,25;2,11;1,24;0,74;Bug'doy
NTTM-108;0-20 sm;Gill;8,23;1,94;0,58;0,56;21,99;169;8,1;549;;978990984,3;21;0,38;0,2;3,01;1,15;2;Bug'doy
NMNX-17;20-40 sm;Qumoq;7,62;1,91;0,52;0,47;20,78;182;5;560;469,67;1867018750;22,4;0,46;0,73;2,72;1,14;1,97;Makkajo'xori
NMNX-138;0-20 sm;Qumoq;7,48;1,94;0,59;0,67;28,3;220;8,3;760;454,77;;24;0,37;0,83;3,84;1,99;0,88;Makkajo'xori
NTXM-147;0-20 sm;Qumoq;7,42;0,84;0,72;0,78;11,71;138;5,7;401;;442016832,8;26;0,32;0,37;3,77;1,34;2;Makkajo'xori
NMNX-139;0-20 sm;Qum;7,59;1,23;0,43;0,83;24,11;238;8,3;697;432,4;876352969,3;25,4;0,43;0,45;2,65;1,43;2,29;Makkajo'xori
NTXM-148;0-20 sm;Qumoq;7,46;0,5;0,43;0,86;15,91;151;8,1;517;388,5;51534125,22;16;0,38;0,36;2,88;1,92;0,59;Makkajo'xori
NMNT-140;20-40 sm;Qum;7,44;1,58;0,55;1;26,45;207;7,9;612;287,84;2467136767;14,6;0,47;0,45;3,16;1,47;1,88;Bug'doy
NTTM-109;0-20 sm;Loy;7,63;0,64;0,86;0,53;25,6;138;8,3;581;404,8;654995849,9;7,2;0,35;0,76;5,07;1,42;2,47;Makkajo'xori
NMNX-18;0-30;Loy;7,48;1,3;0,57;1,11;13,75;182;10,7;708;392,63;2603703294;14,2;0,92;0,59;6,69;1,15;0,65;Paxta
NMNX-139;0-20 sm;Qum;7,54;1,68;0,72;0,54;26,36;138;7,5;612;279,56;388569848,2;16;0,95;0,29;4,64;1,91;2,53;Bug'doy
NTXM-148;0-20 sm;Qum;7,52;0,82;0,44;1,03;21,4;207;8,3;370;442,87;133074504,3;17,4;0,81;0,31;4,98;1,43;2,41;Makkajo'xori
NMNX-140;0-20 sm;Gill;7,41;1,45;0,48;0,97;24,99;295;8,6;676;385,04;133416010,3;26;0,71;0,38;5,15;1,97;2;Bug'doy
NTXM-149;20-40 sm;Qum;7,64;2,13;0,57;0,72;27,01;289;5,7;338;322,09;319259296,6;14,6;1,06;0,18;2,46;0,92;1,85;Bug'doy
